YEAR,MONTH,DAY,HOUR,NO2
2018,01,19,18,35.1
2018,01,19,19,24.3
2018,01,19,20,27.7
2018,01,19,21,26.9
2018,01,19,22,40.9
2018,01,19,23,41.6
2018,01,20,00,23.7
2018,01,20,01,22.7
2018,01,20,02,36.5
2018,01,20,03,39.7
2018,01,20,04,47.0
2018,01,20,05,33.4
2018,01,20,06,40.1
2018,01,20,07,36.1
2018,01,20,08,32.7
2018,01,20,09,49.3
2018,01,20,10,33.6
2018,01,20,11,34.4
2018,01,20,12,35.9
2018,01,20,13,20.4
2018,01,20,14,41.4
2018,01,20,15,35.3
2018,01,20,16,46.8
2018,01,20,17,46.6
2018,01,20,18,72.6
2018,01,20,19,51.2
2018,01,20,20,4.2
2018,01,20,21,4.6
2018,01,20,22,5.0
2018,01,20,23,4.4
2018,01,21,00,3.4
2018,01,21,01,2.7
2018,01,21,02,2.9
2018,01,21,03,1.5
2018,01,21,04,1.1
2018,01,21,05,1.5
2018,01,21,06,1.9
2018,01,21,07,3.8
2018,01,21,08,2.3
2018,01,21,09,4.2
2018,01,21,10,5.5
2018,01,21,11,38.6
2018,01,21,12,27.5
2018,01,21,13,24.1
2018,01,21,14,16.6
2018,01,21,15,25.6
2018,01,21,16,29.6
2018,01,21,17,47.6
2018,01,21,18,42.4
2018,01,21,19,38.2
2018,01,21,20,30.4
2018,01,21,21,29.8
2018,01,21,22,29.0
2018,01,21,23,23.1
2018,01,22,00,18.7
2018,01,22,01,12.6
2018,01,22,02,20.2
2018,01,22,03,20.1
2018,01,22,04,30.9
2018,01,22,05,23.1
2018,01,22,06,25.2
2018,01,22,07,18.5
2018,01,22,08,24.4
2018,01,22,09,29.4
2018,01,22,10,29.0
2018,01,22,11,30.8
2018,01,22,12,27.9
2018,01,22,13,28.1
2018,01,22,14,43.7
2018,01,22,15,62.6
2018,01,22,16,50.6
2018,01,22,17,33.4
2018,01,22,18,41.6
2018,01,22,19,31.1
2018,01,22,20,44.1
2018,01,22,21,40.1
2018,01,22,22,45.6
2018,01,22,23,23.5
2018,01,23,00,29.0
2018,01,23,01,24.1
2018,01,23,02,48.5
2018,01,23,03,61.1
2018,01,23,04,40.1
2018,01,23,05,54.6
2018,01,23,06,46.4
2018,01,23,07,36.7
2018,01,23,08,28.7
2018,01,23,09,23.1
2018,01,23,10,25.8
2018,01,23,11,22.0
2018,01,23,12,26.5
2018,01,23,13,29.2
2018,01,23,14,24.1
2018,01,23,15,23.9
2018,01,23,16,27.3
2018,01,23,17,26.2
2018,01,23,18,26.5
2018,01,23,19,23.3
2018,01,23,20,18.7
2018,01,23,21,20.6
2018,01,23,22,19.3
2018,01,23,23,23.3
2018,01,24,00,19.9
2018,01,24,01,26.5
2018,01,24,02,23.9
2018,01,24,03,20.1
2018,01,24,04,17.4
2018,01,24,05,12.6
2018,01,24,06,12.0
2018,01,24,07,18.1
2018,01,24,08,19.1
2018,01,24,09,17.8
2018,01,24,10,19.7
2018,01,24,11,15.7
2018,01,24,12,13.2
2018,01,24,13,9.9
2018,01,24,14,13.0
2018,01,24,15,12.2
2018,01,24,16,19.7
2018,01,24,17,17.6
2018,01,24,18,15.3
2018,01,24,19,15.9
2018,01,24,20,28.3
2018,01,24,21,36.5
2018,01,24,22,28.5
2018,01,24,23,27.3
2018,01,25,00,25.8
2018,01,25,01,23.1
2018,01,25,02,27.9
2018,01,25,03,23.1
2018,01,25,04,22.0
2018,01,25,05,16.0
2018,01,25,06,24.4
2018,01,25,07,29.6
2018,01,25,08,28.3
2018,01,25,09,26.7
2018,01,25,10,23.7
2018,01,25,11,25.4
2018,01,25,12,32.5
2018,01,25,13,30.8
2018,01,25,14,33.8
2018,01,25,15,26.5
2018,01,25,16,31.1
2018,01,25,17,19.5
2018,01,25,18,30.4
2018,01,25,19,28.5
2018,01,25,20,36.9
2018,01,25,21,36.5
2018,01,25,22,42.4
2018,01,25,23,37.6
2018,01,26,00,24.6
2018,01,26,01,28.5
2018,01,26,02,24.1
2018,01,26,03,27.1
2018,01,26,04,29.6
2018,01,26,05,28.3
2018,01,26,06,34.2
2018,01,26,07,38.6
2018,01,26,08,39.2
2018,01,26,09,36.1
2018,01,26,10,31.9
2018,01,26,11,28.1
2018,01,26,12,32.7
2018,01,26,13,35.9
2018,01,26,14,40.7
2018,01,26,15,46.6
2018,01,26,16,46.6
2018,01,26,17,48.5
2018,01,26,18,47.9
2018,01,26,19,39.7
2018,01,26,20,12.4
2018,01,26,21,30.8
2018,01,26,22,48.9
2018,01,26,23,22.9
2018,01,27,00,43.2
2018,01,27,01,53.1
2018,01,27,02,34.2
2018,01,27,03,41.8
2018,01,27,04,44.1
2018,01,27,05,45.1
2018,01,27,06,30.4
2018,01,27,07,26.2
2018,01,27,08,34.8
2018,01,27,09,17.2
2018,01,27,10,18.7
2018,01,27,11,18.9
2018,01,27,12,9.0
2018,01,27,13,17.4
2018,01,27,14,22.7
2018,01,27,15,18.5
2018,01,27,16,21.2
2018,01,27,17,21.8
2018,01,27,18,17.0
2018,01,27,19,15.1
2018,01,27,20,21.2
2018,01,27,21,23.9
2018,01,27,22,24.6
2018,01,27,23,27.5
2018,01,28,00,18.7
2018,01,28,01,29.2
2018,01,28,02,33.2
2018,01,28,03,30.6
2018,01,28,04,39.9
2018,01,28,05,34.2
2018,01,28,06,43.4
2018,01,28,07,49.7
2018,01,28,08,49.1
2018,01,28,09,47.9
2018,01,28,10,34.4
2018,01,28,11,31.7
2018,01,28,12,30.2
2018,01,28,13,35.1
2018,01,28,14,27.3
2018,01,28,15,19.5
2018,01,28,16,24.6
2018,01,28,17,23.9
2018,01,28,18,27.1
2018,01,28,19,29.4
2018,01,28,20,26.9
2018,01,28,21,29.6
2018,01,28,22,26.5
2018,01,28,23,28.1
2018,01,29,00,28.3
2018,01,29,01,17.8
2018,01,29,02,20.1
2018,01,29,03,18.5
2018,01,29,04,17.6
2018,01,29,05,17.2
2018,01,29,06,18.5
2018,01,29,07,22.2
2018,01,29,08,27.7
2018,01,29,09,19.9
2018,01,29,10,22.2
2018,01,29,11,17.8
2018,01,29,12,15.3
2018,01,29,13,21.0
2018,01,29,14,17.6
2018,01,29,15,31.9
2018,01,29,16,35.1
2018,01,29,17,18.9
2018,01,29,18,4.4
2018,01,29,19,12.2
2018,01,29,20,10.5
2018,01,29,21,11.1
2018,01,29,22,5.1
2018,01,29,23,5.1
2018,01,30,00,15.8
2018,01,30,01,13.9
2018,01,30,02,33.4
2018,01,30,03,37.3
2018,01,30,04,17.0
2018,01,30,05,32.1
2018,01,30,06,29.0
2018,01,30,07,36.2
2018,01,30,08,65.7
2018,01,30,09,55.3
2018,01,30,10,46.1
2018,01,30,11,28.4
2018,01,30,12,19.6
2018,01,30,13,31.1
2018,01,30,14,34.3
2018,01,30,15,32.6
2018,01,30,16,23.4
2018,01,30,17,26.7
2018,01,30,18,28.7
2018,01,30,19,51.2
2018,01,30,20,60.6
2018,01,30,21,59.3
2018,01,30,22,61.9
2018,01,30,23,52.9
2018,02,01,00,16.8
2018,02,01,01,27.0
2018,02,01,02,35.4
2018,02,01,03,32.9
2018,02,01,04,24.1
2018,02,01,05,32.5
2018,02,01,06,30.2
2018,02,01,07,35.0
2018,02,01,08,29.2
2018,02,01,09,25.9
2018,02,01,10,9.3
2018,02,01,11,4.4
2018,02,01,12,7.5
2018,02,01,13,6.6
2018,02,01,14,15.7
2018,02,01,15,20.2
2018,02,01,16,18.4
2018,02,01,17,26.8
2018,02,01,18,22.9
2018,02,01,19,21.6
2018,02,01,20,34.0
2018,02,01,21,36.4
2018,02,01,22,42.2
2018,02,01,23,31.6
2018,02,02,00,15.3
2018,02,02,01,2.6
2018,02,02,02,10.2
2018,02,02,03,21.1
2018,02,02,04,7.1
2018,02,02,05,9.6
2018,02,02,06,0.2
2018,02,02,07,0.7
2018,02,02,08,5.0
2018,02,02,09,3.0
2018,02,02,10,3.2
2018,02,02,11,7.5
2018,02,02,12,2.7
2018,02,02,13,2.0
2018,02,02,14,1.7
2018,02,02,15,2.4
2018,02,02,16,3.7
2018,02,02,17,3.4
2018,02,02,18,3.3
2018,02,02,19,3.9
2018,02,02,20,9.9
2018,02,02,21,6.6
2018,02,02,22,17.3
2018,02,02,23,55.7
2018,02,03,00,67.1
2018,02,03,01,71.7
2018,02,03,02,24.5
2018,02,03,03,24.2
2018,02,03,04,56.2
2018,02,03,05,39.2
2018,02,03,06,29.2
2018,02,03,07,46.9
2018,02,03,08,53.3
2018,02,03,09,27.4
2018,02,03,10,26.5
2018,02,03,11,18.7
2018,02,03,12,21.0
2018,02,03,13,39.0
2018,02,03,14,46.6
2018,02,03,15,33.3
2018,02,03,16,38.9
2018,02,03,17,51.1
2018,02,03,18,61.6
2018,02,03,19,61.8
2018,02,03,20,65.8
2018,02,03,21,33.5
2018,02,03,22,17.6
2018,02,03,23,22.5
2018,02,04,00,22.1
2018,02,04,01,12.2
2018,02,04,02,13.8
2018,02,04,03,11.3
2018,02,04,04,14.0
2018,02,04,05,17.8
2018,02,04,06,21.2
2018,02,04,07,18.1
2018,02,04,08,16.7
2018,02,04,09,18.4
2018,02,04,10,4.7
2018,02,04,11,6.7
2018,02,04,12,8.9
2018,02,04,13,8.5
2018,02,04,14,14.0
2018,02,04,15,15.0
2018,02,04,16,19.8
2018,02,04,17,24.0
2018,02,04,18,15.1
2018,02,04,19,13.0
2018,02,04,20,15.5
2018,02,04,21,15.3
2018,02,04,22,11.4
2018,02,04,23,18.6
2018,02,05,00,23.1
2018,02,05,01,18.4
2018,02,05,02,21.4
2018,02,05,03,17.7
2018,02,05,04,21.6
2018,02,05,05,23.1
2018,02,05,06,27.5
2018,02,05,07,30.2
2018,02,05,08,31.5
2018,02,05,09,32.5
