YEAR,MONTH,DAY,HOUR,PM25
2018,01,20,16,4.4
2018,01,20,17,4.1
2018,01,20,18,5.8
2018,01,20,19,5.1
2018,01,20,20,1.9
2018,01,20,21,-0.7
2018,01,20,22,4.3
2018,01,20,23,5.8
2018,01,21,00,6.2
2018,01,21,01,5.9
2018,01,21,02,0.1
2018,01,21,03,3.0
2018,01,21,04,4.5
2018,01,21,05,3.4
2018,01,21,06,3.3
2018,01,21,07,0.6
2018,01,21,08,-2.0
2018,01,21,09,-0.6
2018,01,21,10,4.7
2018,01,21,11,6.6
2018,01,21,12,4.2
2018,01,21,13,4.0
2018,01,21,14,5.5
2018,01,21,15,6.9
2018,01,21,16,6.1
2018,01,21,17,16.6
2018,01,21,18,17.1
2018,01,21,19,17.4
2018,01,21,20,18.1
2018,01,21,21,11.6
2018,01,21,22,11.6
2018,01,21,23,11.8
2018,01,22,00,10.3
2018,01,22,01,8.3
2018,01,22,02,9.1
2018,01,22,03,9.9
2018,01,22,04,8.6
2018,01,22,05,9.9
2018,01,22,06,11.4
2018,01,22,07,8.7
2018,01,22,08,6.8
2018,01,22,09,6.5
2018,01,22,10,8.2
2018,01,22,11,12.0
2018,01,22,12,10.1
2018,01,22,13,7.6
2018,01,22,14,16.7
2018,01,22,15,11.9
2018,01,22,16,10.9
2018,01,22,17,9.7
2018,01,22,18,5.0
2018,01,22,19,1.8
2018,01,22,20,5.8
2018,01,22,21,7.6
2018,01,22,22,8.9
2018,01,22,23,9.5
2018,01,23,00,4.2
2018,01,23,01,4.3
2018,01,23,02,6.9
2018,01,23,03,8.1
2018,01,23,04,8.6
2018,01,23,05,7.0
2018,01,23,06,9.3
2018,01,23,07,10.3
2018,01,23,08,9.2
2018,01,23,09,7.5
2018,01,23,10,7.5
2018,01,23,11,8.8
2018,01,23,12,8.2
2018,01,23,13,7.9
2018,01,23,14,7.7
2018,01,23,15,7.7
2018,01,23,16,7.9
2018,01,23,17,8.7
2018,01,23,18,10.5
2018,01,23,19,9.8
2018,01,23,20,9.8
2018,01,23,21,9.2
2018,01,23,22,5.9
2018,01,23,23,6.0
2018,01,24,00,4.3
2018,01,24,01,3.8
2018,01,24,02,5.7
2018,01,24,03,2.2
2018,01,24,04,1.9
2018,01,24,05,4.8
2018,01,24,06,4.2
2018,01,24,07,5.7
2018,01,24,08,7.6
2018,01,24,09,3.3
2018,01,24,10,2.7
2018,01,25,15,2.1
2018,01,25,16,6.6
2018,01,25,17,3.2
2018,01,25,18,3.2
2018,01,25,19,6.4
2018,01,25,20,10.3
2018,01,25,21,12.2
2018,01,25,22,11.3
2018,01,25,23,12.8
2018,01,26,00,12.3
2018,01,26,01,12.1
2018,01,26,02,16.7
2018,01,26,03,12.9
2018,01,26,04,13.7
2018,01,26,05,14.7
2018,01,26,06,15.8
2018,01,26,07,15.3
2018,01,26,08,18.0
2018,01,26,09,15.3
2018,01,26,11,14.7
2018,01,26,12,13.7
2018,01,26,13,21.0
2018,01,26,14,19.5
2018,01,26,15,28.0
2018,01,26,16,25.9
2018,01,26,17,25.7
2018,01,26,18,23.3
2018,01,26,19,15.6
2018,01,26,20,9.0
2018,01,26,21,4.3
2018,01,26,22,8.1
2018,01,26,23,9.7
2018,01,27,00,8.7
2018,01,27,01,10.1
2018,01,27,02,9.5
2018,01,27,03,8.9
2018,01,27,04,8.8
2018,01,27,05,7.5
2018,01,27,06,9.7
2018,01,27,07,8.8
2018,01,27,08,9.9
2018,01,27,09,13.5
2018,01,27,10,16.3
2018,01,27,11,23.8
2018,01,27,12,18.6
2018,01,27,13,16.6
2018,01,27,14,22.2
2018,01,27,15,21.5
2018,01,27,16,17.7
2018,01,27,17,13.9
2018,01,27,18,20.3
2018,01,27,19,19.0
2018,01,27,20,7.8
2018,01,27,21,7.1
2018,01,27,22,6.0
2018,01,27,23,7.5
2018,01,28,00,9.5
2018,01,28,01,9.2
2018,01,28,02,8.1
2018,01,28,03,7.5
2018,01,28,04,8.5
2018,01,28,05,7.9
2018,01,28,06,7.5
2018,01,28,07,7.6
2018,01,28,08,8.7
2018,01,28,09,9.2
2018,01,28,10,9.1
2018,01,28,11,10.5
2018,01,28,12,12.1
2018,01,28,13,12.3
2018,01,28,14,11.8
2018,01,28,15,9.7
2018,01,28,16,9.1
2018,01,28,17,11.1
2018,01,28,18,8.3
2018,01,28,19,8.2
2018,01,28,20,8.5
2018,01,28,21,19.4
2018,01,28,22,9.9
2018,01,28,23,10.2
2018,01,29,00,11.2
2018,01,29,01,12.3
2018,01,29,02,10.1
2018,01,29,03,9.0
2018,01,29,04,12.5
2018,01,29,05,12.3
2018,01,29,06,9.7
2018,01,29,07,8.6
2018,01,29,08,9.1
2018,01,29,09,9.5
2018,01,29,10,8.0
2018,01,29,11,8.6
2018,01,29,12,11.1
2018,01,29,13,12.3
2018,01,29,14,11.3
2018,01,29,15,7.4
2018,01,29,16,7.4
2018,01,29,17,7.5
2018,01,29,18,-0.9
2018,01,29,19,-2.5
2018,01,29,20,2.7
2018,01,29,21,6.1
2018,01,29,22,8.1
2018,01,29,23,6.2
2018,01,30,00,3.5
2018,01,30,01,6.9
2018,01,30,02,11.0
2018,01,30,03,7.2
2018,01,30,04,8.6
2018,01,30,05,9.0
2018,01,30,06,6.1
2018,01,30,07,3.9
2018,01,30,09,13.1
2018,01,30,10,12.7
2018,01,30,11,8.8
2018,01,30,12,8.2
2018,01,30,13,9.3
2018,01,30,14,8.6
2018,01,30,15,10.6
2018,01,30,16,10.4
2018,01,30,17,7.8
2018,01,30,18,6.9
2018,01,30,19,9.3
2018,01,30,20,12.9
2018,01,30,21,17.9
2018,01,30,22,23.5
2018,01,30,23,21.7
2018,02,01,00,6.4
2018,02,01,01,8.2
2018,02,01,02,5.1
2018,02,01,03,4.8
2018,02,01,04,8.2
2018,02,01,05,10.5
2018,02,01,06,9.1
2018,02,01,07,6.4
2018,02,01,08,6.3
2018,02,01,09,4.8
2018,02,01,10,2.5
2018,02,01,11,3.3
2018,02,01,12,5.9
2018,02,01,13,3.0
2018,02,01,14,1.8
2018,02,01,15,5.3
2018,02,01,16,5.3
2018,02,01,17,6.1
2018,02,01,18,6.5
2018,02,01,19,5.9
2018,02,01,20,5.6
2018,02,01,21,8.3
2018,02,01,22,6.9
2018,02,01,23,2.7
2018,02,02,00,5.8
2018,02,02,01,8.7
2018,02,02,02,10.1
2018,02,02,03,10.4
2018,02,02,04,7.7
2018,02,02,05,6.1
2018,02,02,06,8.1
2018,02,02,07,7.9
2018,02,02,08,3.6
2018,02,02,09,2.6
2018,02,02,10,5.0
2018,02,02,11,4.2
2018,02,02,12,3.4
2018,02,02,13,5.8
2018,02,02,14,4.2
2018,02,02,15,1.6
2018,02,02,16,6.0
2018,02,02,17,9.3
2018,02,02,18,7.5
2018,02,02,19,4.7
2018,02,02,20,4.7
2018,02,02,21,7.2
2018,02,02,22,9.3
2018,02,02,23,9.8
2018,02,03,00,8.1
2018,02,03,01,9.5
2018,02,03,02,5.8
2018,02,03,03,0.7
2018,02,03,04,2.9
2018,02,03,05,7.0
2018,02,03,06,6.0
2018,02,03,07,1.4
2018,02,03,08,2.6
2018,02,03,09,3.6
2018,02,03,10,5.5
2018,02,03,11,7.0
2018,02,03,12,4.8
2018,02,03,13,6.4
2018,02,03,14,6.2
2018,02,03,15,3.9
2018,02,03,16,7.2
2018,02,03,17,9.3
2018,02,03,18,19.2
2018,02,03,19,20.6
2018,02,03,20,21.5
2018,02,03,21,11.4
2018,02,03,22,10.8
2018,02,03,23,9.6
2018,02,04,00,8.0
2018,02,04,01,8.8
2018,02,04,02,4.4
2018,02,04,03,-0.3
2018,02,04,04,1.3
2018,02,04,05,1.5
2018,02,04,06,3.4
2018,02,04,07,6.0
2018,02,04,08,5.8
2018,02,04,09,5.7
2018,02,04,10,8.2
2018,02,04,11,8.0
2018,02,04,12,4.5
2018,02,04,13,5.4
2018,02,04,14,8.2
2018,02,04,15,8.8
2018,02,04,16,8.6
2018,02,04,17,8.9
2018,02,04,18,10.8
2018,02,04,19,10.4
2018,02,04,20,8.8
2018,02,04,21,9.9
2018,02,04,22,10.2
2018,02,04,23,10.3
2018,02,05,00,11.9
2018,02,05,01,8.4
2018,02,05,02,5.6
2018,02,05,03,16.4
2018,02,05,04,12.4
2018,02,05,05,12.6
2018,02,05,06,18.0
2018,02,05,07,17.0
2018,02,05,08,18.8
2018,02,05,09,18.2
2018,02,05,10,20.7
2018,02,05,11,13.9
2018,02,05,12,16.5
2018,02,05,13,18.5
2018,02,05,14,18.5
2018,02,05,15,14.2
2018,02,05,16,16.4
2018,02,05,17,23.6
2018,02,05,18,16.6
2018,02,05,19,18.4
2018,02,05,20,23.8
2018,02,05,21,22.7
2018,02,05,22,25.3
2018,02,05,23,27.1
2018,02,06,00,24.6
2018,02,06,01,21.0
2018,02,06,02,29.4
2018,02,06,03,25.7
2018,02,06,04,27.0
2018,02,06,05,22.8
2018,02,06,06,31.7
2018,02,06,07,24.5
2018,02,06,08,30.3
2018,02,06,09,24.3
2018,02,06,10,25.7
2018,02,06,11,23.2
2018,02,06,12,22.4
2018,02,06,13,23.3
2018,02,06,14,17.9
2018,02,06,15,15.4
2018,02,06,16,13.7
2018,02,06,17,8.8
2018,02,06,18,7.9
2018,02,06,19,11.3
2018,02,06,20,12.4
2018,02,06,21,12.8
2018,02,06,22,12.7
2018,02,06,23,13.1
2018,02,07,00,16.1
2018,02,07,01,14.3
2018,02,07,02,19.4
2018,02,07,03,19.1
2018,02,07,04,17.0
2018,02,07,05,17.2
2018,02,07,06,17.0
2018,02,07,07,19.8
2018,02,07,08,23.6
2018,02,07,09,27.0
2018,02,07,10,30.1
2018,02,07,11,18.5
2018,02,07,12,13.2
2018,02,07,13,12.7
2018,02,07,14,13.9
2018,02,07,15,15.2
2018,02,07,16,12.6
2018,02,07,17,12.5
2018,02,07,18,14.9
2018,02,07,19,24.0
2018,02,07,20,23.8
2018,02,07,21,20.3
2018,02,07,22,25.6
2018,02,07,23,22.4
2018,02,08,00,28.1
2018,02,08,01,31.5
2018,02,08,02,28.5
2018,02,08,03,26.3
2018,02,08,04,27.4
2018,02,08,05,32.3
2018,02,08,06,34.7
2018,02,08,07,35.5
2018,02,08,08,38.4
2018,02,08,09,26.5
2018,02,08,10,24.5
2018,02,08,11,34.4
2018,02,08,12,10.0
2018,02,08,13,10.7
2018,02,08,14,20.5
2018,02,08,15,16.8
2018,02,08,16,14.6
2018,02,08,17,14.1
2018,02,08,18,18.6
2018,02,08,19,8.8
2018,02,08,20,25.2
2018,02,08,21,26.6
2018,02,08,22,31.3
2018,02,08,23,27.1
2018,02,09,00,27.2
2018,02,09,01,28.9
2018,02,09,02,23.9
2018,02,09,03,22.7
2018,02,09,04,36.6
2018,02,09,05,32.1
2018,02,09,06,27.4
2018,02,09,07,26.3
2018,02,09,08,27.5
2018,02,09,09,23.1
2018,02,09,10,26.8
2018,02,09,11,31.3
2018,02,09,12,30.5
2018,02,09,13,35.6
2018,02,09,14,31.9
2018,02,09,15,31.5
2018,02,09,16,26.8
2018,02,09,17,24.9
2018,02,09,18,22.4
2018,02,09,19,26.3
2018,02,09,20,26.3
2018,02,09,21,32.4
2018,02,09,22,36.4
2018,02,09,23,33.3
2018,02,10,00,34.1
2018,02,10,01,37.2
2018,02,10,02,33.2
2018,02,10,03,31.8
2018,02,10,04,31.7
2018,02,10,05,30.7
2018,02,10,06,5.9
2018,02,10,07,4.7
2018,02,10,08,2.8
2018,02,10,09,3.9
2018,02,10,10,6.7
2018,02,10,11,6.4
2018,02,10,12,5.1
2018,02,10,13,7.1
2018,02,10,14,9.9
2018,02,10,15,10.2
2018,02,10,16,7.8
2018,02,10,17,7.2
2018,02,10,18,8.7
2018,02,10,19,11.1
2018,02,10,20,13.0
2018,02,10,21,8.8
2018,02,10,22,6.7
2018,02,10,23,10.6
2018,02,11,00,11.9
2018,02,11,01,11.4
2018,02,11,02,9.9
2018,02,11,03,10.2
2018,02,11,04,8.5
2018,02,11,05,4.3
2018,02,11,06,3.3
2018,02,11,07,4.8
2018,02,11,08,5.8
2018,02,11,09,4.2
2018,02,11,10,5.6
2018,02,11,11,7.7
2018,02,11,12,6.6
2018,02,11,13,5.5
2018,02,11,14,3.6
2018,02,11,15,1.7
2018,02,11,16,3.3
2018,02,11,17,5.9
2018,02,11,18,4.7
2018,02,11,19,2.1
2018,02,11,20,3.6
2018,02,11,21,4.7
2018,02,11,22,7.2
2018,02,11,23,8.7
2018,02,12,00,9.0
2018,02,12,01,6.9
2018,02,12,02,5.3
2018,02,12,03,8.0
2018,02,12,04,6.6
2018,02,12,05,7.2
2018,02,12,06,8.9
2018,02,12,07,5.1
2018,02,12,08,6.1
2018,02,12,09,7.7
2018,02,12,10,5.7
2018,02,12,11,4.2
2018,02,12,12,5.5
2018,02,12,13,6.0
2018,02,12,14,4.5
2018,02,12,15,7.6
2018,02,12,16,9.1
2018,02,12,17,6.7
2018,02,12,18,5.7
2018,02,12,19,6.3
2018,02,12,20,5.3
2018,02,12,21,7.6
2018,02,12,22,10.5
2018,02,12,23,8.3
2018,02,13,00,10.5
2018,02,13,01,11.6
2018,02,13,02,9.7
2018,02,13,03,10.3
2018,02,13,04,11.9
2018,02,13,05,13.4
2018,02,13,06,11.9
2018,02,13,07,19.6
2018,02,13,08,16.4
2018,02,13,09,13.0
2018,02,13,10,11.4
2018,02,13,11,9.3
2018,02,13,12,9.9
2018,02,13,13,8.7
2018,02,13,14,5.4
2018,02,13,15,4.8
2018,02,13,16,5.5
2018,02,13,17,6.6
2018,02,13,18,6.0
2018,02,13,19,4.5
2018,02,13,20,6.5
2018,02,13,21,10.1
2018,02,13,22,12.9
2018,02,13,23,13.4
2018,02,14,00,12.4
2018,02,14,01,12.8
2018,02,14,02,12.7
2018,02,14,03,12.5
2018,02,14,04,13.4
2018,02,14,05,14.3
2018,02,14,06,11.4
2018,02,14,07,10.1
2018,02,14,08,13.3
2018,02,14,09,16.7
2018,02,14,10,15.4
2018,02,14,11,15.0
2018,02,14,12,18.5
2018,02,14,13,15.5
2018,02,14,14,14.4
2018,02,14,15,11.6
2018,02,14,16,12.0
2018,02,14,17,14.2
2018,02,14,18,9.8
2018,02,14,19,9.3
2018,02,14,20,13.0
2018,02,14,21,12.0
2018,02,14,22,10.7
2018,02,14,23,11.3
2018,02,15,00,12.4
2018,02,15,01,8.9
2018,02,15,02,5.8
2018,02,15,03,10.0
2018,02,15,04,10.1
2018,02,15,05,8.4
2018,02,15,06,8.2
2018,02,15,07,7.7
2018,02,15,08,7.9
2018,02,15,09,10.5
2018,02,15,10,16.8
2018,02,15,11,22.7
2018,02,15,12,11.7
2018,02,15,13,16.0
2018,02,15,14,14.6
2018,02,15,15,14.2
2018,02,15,16,12.4
2018,02,15,17,7.9
2018,02,15,18,6.3
2018,02,15,19,5.9
2018,02,15,20,5.5
2018,02,15,21,10.0
2018,02,15,22,12.2
2018,02,15,23,10.3
2018,02,16,00,7.6
2018,02,16,01,7.7
2018,02,16,02,4.9
2018,02,16,03,3.0
2018,02,16,04,4.7
2018,02,16,05,5.3
2018,02,16,06,5.6
2018,02,16,07,4.1
2018,02,16,08,3.7
2018,02,16,09,6.1
2018,02,16,11,5.0
2018,02,16,12,7.0
2018,02,16,13,6.5
2018,02,16,14,6.7
2018,02,16,15,7.7
2018,02,16,16,8.0
2018,02,16,17,8.7
2018,02,16,18,6.9
