YEAR,MONTH,DAY,HOUR,O3
2018,01,22,14,30.6
2018,01,22,15,11.0
2018,01,22,16,24.3
2018,01,22,17,39.6
2018,01,22,18,33.1
2018,01,22,19,43.0
2018,01,22,20,32.3
2018,01,22,21,35.1
2018,01,22,22,34.2
2018,01,22,23,54.7
2018,01,23,00,50.5
2018,01,23,01,50.6
2018,01,23,02,27.0
2018,01,23,03,13.2
2018,01,23,04,31.9
2018,01,23,05,8.4
2018,01,23,06,17.7
2018,01,23,07,31.7
2018,01,23,08,36.3
2018,01,23,09,47.3
2018,01,23,10,44.5
2018,01,23,11,50.8
2018,01,23,12,48.5
2018,01,23,13,48.8
2018,01,23,14,52.7
2018,01,23,15,47.6
2018,01,23,16,41.8
2018,01,23,17,37.9
2018,01,23,18,30.8
2018,01,23,19,33.2
2018,01,23,20,35.3
2018,01,23,21,30.3
2018,01,23,22,39.1
2018,01,23,23,41.2
2018,01,24,00,44.1
2018,01,24,01,37.9
2018,01,24,02,46.0
2018,01,24,03,45.6
2018,01,24,04,49.3
2018,01,24,05,46.1
2018,01,24,06,42.0
2018,01,24,07,43.2
2018,01,24,08,42.3
2018,01,24,09,43.0
2018,01,24,10,42.6
2018,01,24,11,44.2
2018,01,24,12,48.3
2018,01,24,13,50.7
2018,01,24,14,53.4
2018,01,24,15,53.4
2018,01,24,16,48.2
2018,01,24,17,47.7
2018,01,24,18,48.4
2018,01,24,19,68.3
2018,01,24,20,60.1
2018,01,24,21,53.8
2018,01,24,22,58.7
2018,01,24,23,61.2
2018,01,25,00,58.5
2018,01,25,01,61.2
2018,01,25,02,54.8
2018,01,25,03,60.2
2018,01,25,04,61.6
2018,01,25,05,64.8
2018,01,25,06,54.2
2018,01,25,07,53.5
2018,01,25,08,46.2
2018,01,25,09,49.2
2018,01,25,10,48.1
2018,01,25,11,52.5
2018,01,25,12,47.4
2018,01,25,13,42.6
2018,01,25,14,40.2
2018,01,25,15,40.8
2018,01,25,16,43.7
2018,01,25,17,52.9
2018,01,25,18,40.2
2018,01,25,19,40.5
2018,01,25,20,29.6
2018,01,25,21,25.9
2018,01,25,22,19.8
2018,01,25,23,23.3
2018,01,26,00,31.4
2018,01,26,01,27.8
2018,01,26,02,27.3
2018,01,26,03,24.1
2018,01,26,04,17.8
2018,01,26,05,19.5
2018,01,26,06,12.1
2018,01,26,07,9.3
2018,01,26,08,8.1
2018,01,26,09,9.8
2018,01,26,10,18.2
2018,01,26,11,22.0
2018,01,26,12,15.9
2018,01,26,13,12.1
2018,01,26,14,7.0
2018,01,26,15,4.5
2018,01,26,16,3.0
2018,01,26,17,3.9
2018,01,26,18,3.0
2018,01,26,19,15.4
2018,01,26,20,47.0
2018,01,26,21,30.7
2018,01,26,22,18.4
2018,01,26,23,40.8
2018,01,27,00,20.0
2018,01,27,01,14.6
2018,01,27,02,28.1
2018,01,27,03,22.8
2018,01,27,04,17.3
2018,01,27,05,20.3
2018,01,27,06,33.3
2018,01,27,07,39.7
2018,01,27,08,28.0
2018,01,27,09,45.1
2018,01,27,10,35.7
2018,01,27,11,37.9
2018,01,27,12,53.4
2018,01,27,13,49.0
2018,01,27,14,41.4
2018,01,27,15,42.4
2018,01,27,16,45.8
2018,01,27,17,41.5
2018,01,27,18,42.2
2018,01,27,19,42.0
2018,01,27,20,39.8
2018,01,27,21,37.5
2018,01,27,22,32.3
2018,01,27,23,27.7
2018,01,28,00,34.2
2018,01,28,01,27.3
2018,01,28,02,25.0
2018,01,28,03,28.0
2018,01,28,04,20.1
2018,01,28,05,24.9
2018,01,28,06,19.3
2018,01,28,07,15.1
2018,01,28,08,18.2
2018,01,28,09,16.1
2018,01,28,10,30.8
2018,01,28,11,35.1
2018,01,28,12,35.4
2018,01,28,13,37.7
2018,01,28,14,44.0
2018,01,28,15,55.3
2018,01,28,16,52.1
2018,01,28,17,48.7
2018,01,28,18,43.8
2018,01,28,19,40.4
2018,01,28,20,39.8
2018,01,28,21,40.5
2018,01,28,22,42.8
2018,01,28,23,40.0
2018,01,29,00,39.3
2018,01,29,01,47.9
2018,01,29,02,46.8
2018,01,29,03,47.9
2018,01,29,04,57.2
2018,01,29,05,58.6
2018,01,29,06,58.7
2018,01,29,07,50.9
2018,01,29,08,48.0
2018,01,29,09,57.5
2018,01,29,10,55.0
2018,01,29,11,63.0
2018,01,29,12,64.5
2018,01,29,13,62.6
2018,01,29,14,68.1
2018,01,29,15,55.3
2018,01,29,16,47.6
2018,01,29,17,59.5
2018,01,29,18,73.9
2018,01,29,19,62.0
2018,01,29,20,66.0
2018,01,29,21,67.0
2018,01,29,22,70.5
2018,01,29,23,69.1
2018,01,30,00,51.0
2018,01,30,01,52.6
2018,01,30,02,32.1
2018,01,30,03,31.3
2018,01,30,04,49.9
2018,01,30,05,37.5
2018,01,30,06,38.5
2018,01,30,07,30.0
2018,01,30,08,2.8
2018,01,30,09,12.9
2018,01,30,10,23.9
2018,01,30,11,45.1
2018,01,30,12,52.9
2018,01,30,13,44.6
2018,01,30,14,45.9
2018,01,30,15,51.3
2018,01,30,16,55.7
2018,01,30,17,50.9
2018,01,30,18,46.5
2018,01,30,19,22.3
2018,01,30,20,8.3
2018,01,30,21,11.2
2018,01,30,22,5.4
2018,01,30,23,9.9
2018,02,01,00,60.2
2018,02,01,01,48.0
2018,02,01,02,38.9
2018,02,01,03,41.1
2018,02,01,04,47.1
2018,02,01,05,42.6
2018,02,01,06,46.6
2018,02,01,07,41.2
2018,02,01,08,39.2
2018,02,01,09,47.6
2018,02,01,10,57.7
2018,02,01,11,65.3
2018,02,01,12,63.1
2018,02,01,13,65.5
2018,02,01,14,55.7
2018,02,01,15,50.6
2018,02,01,16,50.2
2018,02,01,17,46.7
2018,02,01,18,50.3
2018,02,01,19,49.0
2018,02,01,20,36.4
2018,02,01,21,31.9
2018,02,01,22,23.7
2018,02,01,23,38.4
2018,02,02,00,55.1
2018,02,02,01,65.5
2018,02,02,02,56.5
2018,02,02,03,42.5
2018,02,02,04,56.5
2018,02,02,05,57.1
2018,02,02,06,70.8
2018,02,02,07,66.1
2018,02,02,08,64.1
2018,02,02,09,62.5
2018,02,02,10,61.9
2018,02,02,11,64.1
2018,02,02,12,69.0
2018,02,02,13,69.6
2018,02,02,14,69.2
2018,02,02,15,67.3
2018,02,02,16,59.8
2018,02,02,17,59.7
2018,02,02,18,59.8
2018,02,02,19,60.3
2018,02,02,20,59.3
2018,02,02,21,58.6
2018,02,02,22,46.4
2018,02,02,23,20.5
2018,02,03,00,9.3
2018,02,03,01,1.3
2018,02,03,02,42.8
2018,02,03,03,41.8
2018,02,03,04,12.4
2018,02,03,05,24.7
2018,02,03,06,34.5
2018,02,03,07,16.7
2018,02,03,08,15.0
2018,02,03,09,34.7
2018,02,03,10,36.4
2018,02,03,11,44.0
2018,02,03,12,44.6
2018,02,03,13,29.9
2018,02,03,14,25.6
2018,02,03,15,35.1
2018,02,03,16,25.8
2018,02,03,17,15.6
2018,02,03,18,2.1
2018,02,03,19,0.5
2018,02,03,20,1.9
2018,02,03,21,26.0
2018,02,03,22,43.2
2018,02,03,23,37.4
2018,02,04,00,38.8
2018,02,04,01,55.0
2018,02,04,02,46.2
2018,02,04,03,50.9
2018,02,04,04,45.1
2018,02,04,05,44.4
2018,02,04,06,42.8
2018,02,04,07,43.8
2018,02,04,08,43.3
2018,02,04,09,40.4
2018,02,04,10,54.5
2018,02,04,11,52.8
2018,02,04,12,49.1
2018,02,04,13,52.0
2018,02,04,14,48.9
2018,02,04,15,47.0
2018,02,04,16,40.4
2018,02,04,17,38.2
2018,02,04,18,44.6
2018,02,04,19,51.8
2018,02,04,20,55.6
2018,02,04,21,54.3
2018,02,04,22,52.8
2018,02,04,23,44.3
2018,02,05,00,40.2
2018,02,05,01,42.5
2018,02,05,02,42.6
2018,02,05,03,40.0
2018,02,05,04,37.9
2018,02,05,05,32.8
2018,02,05,06,31.2
2018,02,05,07,28.1
2018,02,05,08,26.6
2018,02,05,09,25.4
2018,02,05,10,31.7
2018,02,05,11,33.2
2018,02,05,12,35.6
2018,02,05,13,36.0
2018,02,05,14,37.8
2018,02,05,15,35.3
2018,02,05,16,31.8
2018,02,05,17,25.2
2018,02,05,18,24.1
2018,02,05,19,25.2
2018,02,05,20,24.0
2018,02,05,21,27.4
2018,02,05,22,31.9
2018,02,05,23,29.5
2018,02,06,00,22.0
2018,02,06,01,26.6
2018,02,06,02,17.7
2018,02,06,03,18.8
2018,02,06,04,19.6
2018,02,06,05,19.9
2018,02,06,06,11.7
2018,02,06,07,8.8
2018,02,06,08,7.4
2018,02,06,10,22.1
2018,02,06,11,28.9
2018,02,06,12,37.3
2018,02,06,13,41.8
2018,02,06,14,47.5
2018,02,06,15,48.1
2018,02,06,16,44.4
2018,02,06,17,33.2
2018,02,06,18,8.9
2018,02,06,19,26.8
2018,02,06,20,18.4
2018,02,06,21,14.9
2018,02,06,22,7.6
2018,02,06,23,12.7
2018,02,07,00,9.6
2018,02,07,01,15.2
2018,02,07,02,3.6
2018,02,07,03,2.2
2018,02,07,04,5.9
2018,02,07,05,13.7
2018,02,07,06,10.4
2018,02,07,07,0.5
2018,02,07,08,2.6
2018,02,07,09,9.4
2018,02,07,10,20.9
2018,02,07,11,39.2
2018,02,07,12,53.5
2018,02,07,13,52.0
2018,02,07,14,50.0
2018,02,07,15,51.7
2018,02,07,16,50.4
2018,02,07,17,36.3
2018,02,07,18,34.1
2018,02,07,19,17.1
2018,02,07,20,2.8
2018,02,07,21,0.1
2018,02,07,22,-0.2
2018,02,07,23,0.2
2018,02,08,00,3.0
2018,02,08,01,13.9
2018,02,08,02,24.0
2018,02,08,03,11.0
2018,02,08,04,7.6
2018,02,08,05,5.5
2018,02,08,06,7.0
2018,02,08,07,5.4
2018,02,08,08,2.8
2018,02,08,09,7.5
2018,02,08,10,9.1
2018,02,08,11,13.4
2018,02,08,12,38.9
2018,02,08,13,51.5
2018,02,08,14,45.1
2018,02,08,15,44.7
2018,02,08,16,43.7
2018,02,08,17,24.3
2018,02,08,18,27.4
2018,02,08,19,36.5
2018,02,08,20,15.6
2018,02,08,21,6.5
2018,02,08,22,10.6
2018,02,08,23,17.6
2018,02,09,00,22.5
2018,02,09,01,28.3
2018,02,09,02,34.2
2018,02,09,03,32.1
2018,02,09,04,24.2
2018,02,09,05,21.9
2018,02,09,06,18.7
2018,02,09,07,24.6
2018,02,09,08,22.0
2018,02,09,09,27.9
2018,02,09,10,38.3
2018,02,09,11,37.3
2018,02,09,12,37.3
2018,02,09,13,37.2
2018,02,09,14,35.4
2018,02,09,15,34.2
2018,02,09,16,22.5
2018,02,09,17,21.0
2018,02,09,18,18.5
2018,02,09,19,25.5
2018,02,09,20,10.6
2018,02,09,21,4.2
2018,02,09,22,0.0
2018,02,09,23,0.2
2018,02,10,00,0.5
2018,02,10,01,0.8
2018,02,10,02,0.2
2018,02,10,03,0.2
2018,02,10,04,-0.1
2018,02,10,05,0.7
2018,02,10,06,54.4
2018,02,10,07,73.2
2018,02,10,08,70.3
2018,02,10,09,56.8
2018,02,10,10,49.4
2018,02,10,11,52.1
2018,02,10,12,57.8
2018,02,10,13,62.9
2018,02,10,14,58.6
2018,02,10,15,56.5
2018,02,10,16,53.5
2018,02,10,17,50.4
2018,02,10,18,50.1
2018,02,10,19,48.1
2018,02,10,20,49.4
2018,02,10,21,55.2
2018,02,10,22,52.1
2018,02,10,23,48.0
2018,02,11,00,53.1
2018,02,11,01,50.3
2018,02,11,02,55.7
2018,02,11,03,51.5
2018,02,11,04,50.6
2018,02,11,05,55.0
2018,02,11,06,54.2
2018,02,11,07,64.0
2018,02,11,08,69.3
2018,02,11,09,72.1
2018,02,11,10,76.0
2018,02,11,11,66.8
2018,02,11,12,74.9
2018,02,11,13,68.5
2018,02,11,14,73.1
2018,02,11,15,74.8
2018,02,11,16,68.8
2018,02,11,17,64.0
2018,02,11,18,66.7
2018,02,11,19,56.8
2018,02,11,20,61.3
2018,02,11,21,56.3
2018,02,11,22,63.8
2018,02,11,23,63.8
2018,02,12,00,62.3
2018,02,12,01,62.7
2018,02,12,02,60.7
2018,02,12,03,68.8
2018,02,12,04,64.3
2018,02,12,05,49.6
2018,02,12,06,65.0
2018,02,12,07,67.1
2018,02,12,08,65.2
2018,02,12,09,66.7
2018,02,12,10,68.5
2018,02,12,11,63.6
2018,02,12,12,60.9
2018,02,12,13,57.8
2018,02,12,14,65.1
2018,02,12,15,61.1
2018,02,12,16,54.6
2018,02,12,17,39.1
2018,02,12,18,38.8
2018,02,12,19,36.0
2018,02,12,20,34.6
2018,02,12,21,36.2
2018,02,12,22,37.8
2018,02,12,23,46.5
2018,02,13,00,43.6
2018,02,13,01,47.5
2018,02,13,02,49.1
2018,02,13,03,47.8
2018,02,13,04,36.4
2018,02,13,05,26.0
2018,02,13,06,19.2
2018,02,13,07,12.4
2018,02,13,08,13.3
2018,02,13,09,28.1
2018,02,13,10,32.3
2018,02,13,11,37.9
2018,02,13,12,44.4
2018,02,13,13,56.0
2018,02,13,14,61.7
2018,02,13,15,62.2
2018,02,13,16,47.9
2018,02,13,17,46.6
2018,02,13,18,39.6
2018,02,13,19,36.0
2018,02,13,20,44.0
2018,02,13,21,39.3
2018,02,13,22,36.4
2018,02,13,23,34.6
2018,02,14,00,32.6
